qr,plot,loc,field,nLvl,irrigation,rep,row,range,genotype,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafLen1,leafWidth1,leafLen2,leafWidth2,earHt1,flagLeafHt1,plantHt1,earHt2,flagLeafHt2,plantHt2,leafDimHtCollector,leafDimHtDate,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,population,leafDimHtNotes,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,looseKernelCt,looseKernelWt,totalMoisture,earDataCollector1,earPhenotypeNotes1,seedColor1,earWidth1,kernelFillLen1,kernelRows1,kernelsPerRow1,earWt1,totalKernelCt1,cobWidth1,cobLen1,cobWt1,hundredKernelWt1,greenAtHarvest1,earDataCollector2,earPhenotypeNotes2,seedColor2,earWidth2,kernelFillLen2,kernelRows2,kernelsPerRow2,earWt2,totalKernelCt2,cobWidth2,cobLen2,cobWt2,hundredKernelWt2,greenAtHarvest2,earDataCollector3,earPhenotypeNotes3,seedColor3,earWidth3,kernelFillLen3,kernelRows3,kernelsPerRow3,earWt3,totalKernelCt3,cobWidth3,cobLen3,cobWt3,hundredKernelWt3,greenAtHarvest3,earDataCollector4,earPhenotypeNotes4,seedColor4,earWidth4,kernelFillLen4,kernelRows4,kernelsPerRow4,earWt4,totalKernelCt4,cobWidth4,cobLen4,cobWt4,hundredKernelWt4,greenAtHarvest4,combineNotes
NA,6142,Lincoln,Hybrid HIPS,NA,NA,-Inf,33,8,PHN46 X PHK56,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI/ND,NA,Yellow,4,12,16,32,80.2,451,2.5,13.5,13.3,17.8,NA,AI/ND,NA,Yellow,3.5,9,16,28,37.9,525,3,13.5,16.5,15.2,NA,AI/ND,NA,Yellow,4.5,13.5,18,36,93.6,395,2.5,14,7.3,9.2,NA,AI/ND,NA,Yellow,3.5,10.5,16,34,37.7,327,2.5,13,8,8.3,NA,NA
NA,6136,Lincoln,Hybrid HIPS,NA,NA,-Inf,33,2,LH82 X W606S,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,NA,Yellow/Orange,3,13,18,32,84.02,420,2,16,15.65,17.18,NA,IS,NA,Yellow/Orange,3,10,18,23,59.01,342,2,14.5,9.21,15.12,NA,IS,NA,Yellow/Orange,3.5,10.5,17,20,54.74,296,2,15,9.93,15.2,NA,IS,NA,Yellow/Orange,3,11.5,18,27,70.53,379,2.5,15,13.28,14.75,NA,NA
NA,6137,Lincoln,Hybrid HIPS,NA,NA,-Inf,33,3,F42 X MO17,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,NA,Yellow,3,12,14,21,75.48,251,2,15,19.03,23.55,NA,IS,NA,Yellow,3,10.5,14,27,61.37,258,1.5,12,7.66,20.35,NA,IS,NA,Yellow,2.5,12.5,14,21,57.73,292,1,12.5,6.66,16.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4278,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,9,LH185 X LH82,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,NA,Yellow,3,13.5,16,30,102.34,425,2,16,15.7,20.14,NA,IS,NA,Orange,3.5,16.5,14,38,127.49,426,2,18.5,20.25,26.48,NA,IS,NA,Yellow,4,16.5,18,39,162.54,602,2.5,17,21.78,22.12,NA,IS,NA,Yellow,3.5,16.5,15,38,130.81,491,2.5,17,19.76,22.1,NA,NA
NA,4183,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,7,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4,14.5,14,38,123.6,456,2.5,16.5,16.4,24.9,NA,AI,NA,Yellow,3.5,14,14,33,82.2,391,22.5,16,13.8,19.6,NA,AI,NA,Yellow,4,13.5,16,36,92.5,476,2.5,16,15.4,15.3,NA,AI,NA,Yellow,4,14,14,34,109.9,423,2.5,16,14.2,22.2,NA,NA
NA,6105,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,6,2369 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,NA,Yellow,4,19,16,44,114.06,257,2.5,20,33.79,31.25,NA,IS,NA,Yellow,4,19,16,47,135.23,316,2.5,20,36.92,30.19,NA,IS,NA,Yellow,3.5,16,16,38,95.8,458,2.5,18,18.68,15.65,NA,IS,NA,Yellow,4,19,16,45,197.63,615,2.5,19,25.76,24.97,NA,NA
NA,4282,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,13,LH195 X PHZ51,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4,17.5,16,37,190.7,610,3,19,32.3,26.7,NA,AI,NA,Yellow,4,14.5,18,34,138.3,509,3,16.5,20.9,22.6,NA,AI,NA,Yellow,4,16.5,16,38,167.3,549,3,18,27.3,25.7,NA,AI,NA,Yellow,4.5,16.5,16,40,169.7,605,3,18,25.7,25.1,NA,NA
NA,6205,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,13,PHK56 X PHJ89,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,NA,Yellow,4,16.5,18,34,147.48,508,2.5,18,25.71,24.31,NA,IS,NA,Yellow,3.5,17.5,16,39,165.92,566,2.5,18,24.12,25.02,NA,IS,NA,Yellow,3.5,14.5,14,36,114.66,407,2,16.5,18.66,22.8,NA,IS,NA,Yellow,3.5,16,16,38,132.88,488,2.5,17.5,20.56,21.31,NA,NA
NA,4281,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,12,PHW52 X LH185,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,3.5,11.5,14,27,65,222,2.5,13.5,9.9,24.4,NA,AI,NA,Yellow,4,12,14,28,77.9,331,2.5,14,11.4,19.9,NA,AI,NA,Yellow,4,16.5,14,31,94.1,330,2.5,16.5,14.6,23.5,NA,AI,NA,Yellow,4,14,14,34,93.6,311,2.5,16,12.7,26,NA,NA
NA,6201,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,9,HOEGEMEYER 8065RR,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,NA,Yellow,3.5,12.5,16,38,120.52,399,2,16,14.58,27.44,NA,IS,NA,Yellow,3.5,15.5,17,33,126.88,484,2.5,16.5,16.04,23.32,NA,IS,NA,Yellow,3,13,16,34,96.65,433,2,15,10.61,19.78,NA,IS,NA,Yellow,3.5,14,16,36,99.42,457,2,15,13.15,18.7,NA,NA
NA,4280,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,11,WF9 X H95,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4,16,16,32,115.3,413,2.5,17,24.5,21.8,NA,AI,NA,Yellow,4,15.5,18,36,117.9,559,2.5,18.5,19.3,18.3,NA,AI,NA,Yellow,3.5,14.5,14,36,79.2,390,2.5,16,12.9,17.7,NA,AI,NA,Yellow,3.5,13,18,31,69.9,333,2.5,14.5,13.3,17.4,NA,NA
NA,6107,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,8,PHP02 X PHK76,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IS,NA,Yellow,3,12,16,30,84.65,368,2,15,13.74,18.2,NA,IS,NA,Yellow,3.5,17,16,39,147.9,542,2.5,18,19.95,24.83,NA,IS,NA,Orange,3,12,14,25,63.35,478,2,14.5,12.11,23.16,NA,IS,NA,Orange,3,15,16,32,98.63,407,2,15,15.65,21.28,NA,NA
NA,4283,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,14,PHK76 X LH198,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4,14.5,16,38,120.8,515,3,16,19,19.6,NA,AI,NA,Yellow,3.5,10.5,14,27,60,240,2.5,12.5,10.5,20.7,NA,AI,NA,Yellow,4.5,15.5,16,37,167,462,3,17.5,25.3,31.3,NA,AI,NA,Yellow,3.5,13,12,30,80,320,2.5,14,14,19.8,NA,NA
NA,6204,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,12,PHK56 X W606S,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Orange,3,12,16,32,74.15,328,2.5,12.5,12.36,18.85,NA,ND/IS,NA,Orange,4,14,16,32,99.64,384,2.5,15,17.26,21.28,NA,ND/IS,NA,Orange,4,15.5,16,37,110.11,361,3,16.5,20.27,24.25,NA,ND/IS,NA,Orange,3.5,14,14,31,81.88,312,2.5,15,14.96,21.27,NA,NA
NA,4284,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,15,2369 X PHZ51,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4,18,14,43,167.7,543,3,20,27.3,27.2,NA,AI,NA,Yellow,4,18,14,40,174.1,572,3,19,27,26.6,NA,AI,NA,Yellow,4.5,15.5,16,37,157.3,543,3,17.5,25.4,26.2,NA,AI,NA,Yellow,4,17,14,36,151.4,477,3,18.5,24.3,28.5,NA,NA
NA,6206,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,14,LH82 X W606S,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Orange,3.5,16,16,33,102.61,443,2.5,16.5,14.92,20,NA,ND/IS,NA,Red,4,14.5,20,24,83.22,439,3,15.5,12.42,16.72,NA,ND/IS,NA,Red,3.5,15.5,18,33,87.87,509,2.5,16,14.1,15.12,NA,ND/IS,NA,Orange,3.5,14.5,18,31,86.93,483,2.5,16,13.62,16.06,NA,NA
NA,4279,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,10,PHJ40 X LH82,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4,12.5,16,32,92.6,417,3,14,17.2,17.4,NA,AI,NA,Yellow,4,13.5,18,32,86.4,430,3,15,20.4,15.9,NA,AI,NA,Yellow,4,13,16,34,96.8,462,2.5,15,19.6,16.8,NA,AI,NA,Yellow,4,12.5,18,30,93.7,495,3,14,17.6,15.8,NA,NA
NA,6203,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,11,LH185 X LH145,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Yellow,3.5,16,14,39,94.79,438,2.5,16,15.35,18.68,NA,ND/IS,NA,Yellow,3,16.5,12,38,85.14,394,2,16.5,13.99,19.01,NA,ND/IS,NA,Yellow,3,13,14,34,46.35,245,2,13,8.92,13.9,NA,ND/IS,NA,Yellow,3.5,12,12,28,41.71,231,2,12.5,6,15.65,NA,NA
NA,6103,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,4,PHP02 X LH198,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Yellow,3.5,11.5,14,25,45.05,147,2.5,12.5,11.32,22.88,NA,ND/IS,NA,Yellow,3.5,12,14,25,56.61,198,2.5,12,11.32,21.9,NA,ND/IS,NA,Yellow,4,11,16,21,45.62,172,2.5,11.5,11.08,20.26,NA,ND/IS,NA,Yellow,4,12,14,31,61.17,224,2.5,13.5,12.34,21.29,NA,NA
NA,4180,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,4,LH123HT X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4,19,12,43,143.2,507,3,19,30.7,21.5,NA,AI,NA,Yellow,4,15.5,12,35,115.3,409,2.5,17.5,22.3,23.9,NA,AI,NA,Yellow,3.5,9.5,14,24,46.7,264,2.5,11.5,11.1,14.5,NA,AI,NA,Yellow,3,9,14,24,38.8,223,2,11.5,6.7,14.9,NA,NA
NA,6102,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,3,PIONEER 1311 AMXT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4.5,17.5,18,39,159.4,555,3,18.5,20.4,25.2,NA,AI,NA,Yellow,4.5,16,16,32,155.4,527,3,18,15,25.6,NA,AI,NA,Yellow,5,15.5,20,32,170,549,3.5,18,20.5,27.2,NA,AI,NA,Yellow,4.5,13.5,16,30,113.7,386,3,17,16.8,24.2,NA,NA
NA,4184,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,8,2369 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH,NA,Yellow,3.5,12.5,16,33,71.21,400,2.5,17,13.51,13.52,NA,CH,NA,Yellow,4,15.5,16,34,111.84,439,2.5,15,13.52,22.47,NA,CH,NA,Yellow,3.5,11,16,30,50.64,297,2,12.5,8.27,14.07,NA,CH,NA,Yellow,4,16,16,43,130.82,517,2.5,16,14.84,21.64,NA,NA
NA,4181,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,5,PHK56 X LH198,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH,NA,Yellow,4,13,18,32,116.47,468,2.5,13.5,15.71,22.22,NA,CH,NA,Yellow,3.5,11,16,25,62.51,300,2,10.5,9.29,18.37,NA,CH,NA,Yellow,4,14,16,36,138.11,496,2,14.5,18.65,24.82,NA,CH,NA,Yellow,3.5,11.5,16,27,67.29,315,2,11.5,9.36,17.73,NA,NA
NA,6104,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,5,B73 X PHN82,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4.5,15.5,16,38,167.8,524,3,17.5,32.1,25.7,NA,AI,NA,Yellow,4.5,16.5,18,42,195.1,651,3.5,18,31.6,24.5,NA,AI,NA,Yellow,3,8,14,18,30.2,158,2.5,12.5,8.7,13.6,NA,AI,NA,Yellow,3.5,7.5,16,19,37,187,2.5,14.5,11.4,13.6,NA,NA
NA,4179,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,3,PHN46 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH,NA,Yellow,4,15.5,14,39,137.77,477,2.5,16,18.81,22.98,NA,CH,NA,Yellow,4.5,12,14,31,76.83,323,2,11.5,10.38,19.77,NA,CH,NA,Yellow,4,13.5,14,20,120.04,408,2.5,14.5,15.51,25.37,NA,CH,NA,Yellow,3.5,13.5,14,32,101.12,402,2.5,14,12.75,21.06,NA,NA
NA,4178,Lincoln,Hybrid HIPS,NA,NA,-Inf,13,2,LH198 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH,NA,Yellow,4,15,16,38,159.79,502,2.5,16.5,26.89,26.01,NA,CH,NA,Yellow,3.5,11,16,29,81.71,341,2,13,14.66,19.95,NA,CH,NA,Yellow,4,16.5,14,48,160.79,512,2.5,17.5,25.61,26.33,NA,CH,NA,Yellow,3.5,12,14,27,71.23,260,2,13,12.81,23.34,NA,NA
NA,5283,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,14,LH195 X LH185,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH,NA,Yellow,4.5,18,16,38,184.21,578,3,19.5,26.25,26.59,NA,CH,NA,Yellow,4,16,16,35,149.51,517,2.5,17,21.32,24.07,NA,CH,NA,Yellow,4,17,12,33,151.45,424,2.5,18.5,23.76,29.81,NA,CH,NA,Yellow,3.5,12.5,14,27,88.87,543,2,14,10.54,22.01,NA,NA
NA,6106,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,7,LH82 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Yellow,4.5,15.5,18,38,158.4,594,3,17.5,23,21.8,NA,AI,NA,Yellow,3.5,11.5,18,30,59,363,2.5,14,10.6,12.8,NA,AI,NA,Yellow,3,9,14,22,19.6,189,2,11.5,5.8,7.4,NA,NA
NA,5279,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,10,PHP02 X PHJ89,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH/ND,NA,Yellow,3.5,12,16,32,62.79,309,2,13,10.7,15.63,NA,CH/ND,NA,Yellow,3.5,14,14,30,85.24,411,2.5,16,10.87,18.12,NA,CH/ND,NA,Yellow,3.5,15.5,14,35,85.95,426,2.5,16,11.57,18.97,NA,CH/ND,NA,Yellow,3.5,13.5,16,27,85.99,430,2,13.5,13.72,17.25,NA,NA
NA,5284,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,15,PHN46 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH/ND,NA,Yellow,3.5,15.5,14,33,102.19,409,2.5,16,18.31,19.81,NA,CH/ND,NA,Yellow,3.5,12,10,23,82.93,264,2,13.5,11.77,27.73,NA,CH/ND,NA,Yellow,3.5,13.5,12,28,72.07,323,2,14,11.47,20.65,NA,CH/ND,NA,Yellow,3.5,12,14,28,73.42,324,2.5,13.5,9.45,19.29,NA,NA
NA,6202,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,10,LH185 X W606S,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI,NA,Red,4,16.5,14,35,96.4,324,3,18,17.8,24.6,NA,AI,NA,Red,3.5,13.5,14,32,47.4,180,2.5,16,12.5,19.5,NA,AI,NA,Red,3.5,15,14,32,32.8,106,2.5,17,11.5,19.5,NA,AI,NA,Red,3.5,13,12,29,37.8,166,2.5,15,10.3,16.9,NA,NA
NA,5280,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,11,PHG39 X PHM49,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH/ND,NA,Yellow,3.5,9.5,14,18,58.33,205,2,9.5,7.89,24.87,NA,CH/ND,NA,Yellow,3.5,11.5,16,22,83.59,320,2.5,11.5,11.35,22.84,NA,CH/ND,NA,Yellow,3.5,10,14,23,60.42,266,2,12.5,7.8,19.38,NA,CH/ND,NA,Yellow,3,10,12,17,45.18,118,2,10,8.2,30.87,NA,NA
NA,5179,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,3,PHK56 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CH/ND,NA,Yellow,4,14,16,24,94.13,364,2.5,14,12.21,22.14,NA,CH/ND,NA,Yellow,4,13.5,16,28,111.85,400,2.5,16,12.3,23.04,NA,CH/ND,NA,Yellow,3.5,12,16,37,69.74,372,2,12.5,9.16,16.23,NA,CH/ND,NA,Yellow,3.5,10,16,24,57,249,2,10,5.93,16.63,NA,NA
NA,5282,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,13,2369 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Yellow,4,13.5,16,29,79.02,333,2.5,14.5,12.48,20.43,NA,ND/IS,NA,Yellow,4.5,20.5,18,42,199.86,555,3,20,38.98,28.84,NA,ND/IS,NA,Yellow,3.5,11.5,16,22,53.37,309,2.5,14.5,8.02,14.53,NA,ND/IS,NA,Yellow,3.5,11.5,12,28,61.68,251,2,11.5,8.39,21.42,NA,NA
NA,5180,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,4,LH74 X PHM49,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Yellow,3.5,15,16,34,129.6,489,2.5,15.5,16.34,22.47,NA,ND/IS,NA,Yellow,3,11.5,14,38,44,235,2.5,15,13.03,13.19,NA,ND/IS,NA,Yellow,3.5,11.5,14,29,59.17,299,2.5,16.5,13.47,14.93,NA,ND/IS,NA,Yellow,3,10,14,20,42.63,201,2,11,6.37,18.09,NA,NA
NA,5281,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,12,PHB47 X PHJ89,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Orange,3,13,12,31,61.1,294,2,15,10.8,17.02,NA,ND/IS,NA,Yellow,3.5,12,16,28,89.01,375,2.5,15.5,17.13,18.93,NA,ND/IS,NA,Yellow,3.5,14,14,35,94.5,370,2,16,15.9,21.35,NA,ND/IS,NA,Yellow,3,10.5,12,23,27.75,127,1.5,10.5,7.88,15.26,NA,NA
NA,6207,Lincoln,Hybrid HIPS,NA,NA,-Inf,28,15,PHP02 X LH145,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Yellow,3.5,16,16,42,83.74,487,2.5,16,16.67,14.5,NA,ND/IS,NA,Yellow,3.5,14.5,14,33,72.32,355,2.5,15,12.77,18.36,NA,ND/IS,NA,Yellow,3.5,15,16,35,78.97,429,2.5,15,14.32,13.98,NA,ND/IS,NA,Yellow,3.5,15.5,14,38,81.75,354,2.5,15.5,14.16,19.07,NA,NA
NA,5182,Lincoln,Hybrid HIPS,NA,NA,-Inf,26,6,PHK76 X LH82,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND/IS,NA,Yellow,3,9,12,22,33.48,166,2,12,8.19,15.15,NA,ND/IS,NA,Orange,3,10.5,14,29,45.67,247,2.5,12,8.21,14.64,NA,ND/IS,Not enough,Orange,2.5,7,8,19,17.47,90,1.5,8,4.16,NA,NA,ND/IS,Not enough,Orange,2,5.5,6,15,12.2,61,1.5,7,3.09,NA,NA,NA
